,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2709,18.6,24.5,0.0,15.2,7.9,SSW,54.0,SSW,SW,22.0,24.0,46.0,21.0,1016.0,1015.6,8.0,1.0,,22.9,0.0,0.0
2710,14.1,,0.0,11.0,,SSW,46.0,SSW,SSW,20.0,17.0,50.0,29.0,,1014.2,1.0,0.0,15.1,22.5,0.0,0.0
2711,11.9,,0.0,8.4,12.1,WSW,41.0,,WSW,11.0,9.0,52.0,28.0,1014.8,1012.0,0.0,0.0,16.7,24.9,,0.0
2712,19.5,31.4,0.0,6.8,10.5,ESE,,ENE,ENE,26.0,19.0,54.0,34.0,,1014.4,1.0,1.0,21.8,,0.0,
2713,21.6,,0.0,11.2,5.8,NNE,48.0,ENE,N,,20.0,54.0,35.0,1016.2,1013.2,,5.0,23.9,31.2,0.0,1.0
2714,18.5,29.6,9.2,7.6,6.0,NE,39.0,ENE,NE,13.0,6.0,86.0,43.0,1016.1,1013.3,5.0,6.0,20.0,28.8,1.0,1.0
2715,19.1,34.2,1.2,4.4,11.5,NW,37.0,,NW,,11.0,,30.0,,1009.0,,3.0,,33.0,1.0,0.0
2716,13.9,29.5,0.0,6.4,11.8,ESE,28.0,ESE,E,11.0,,41.0,23.0,1015.8,1012.9,0.0,0.0,20.2,27.7,0.0,
2717,,,0.0,6.0,11.3,SW,24.0,E,SSW,4.0,9.0,39.0,,1014.7,1012.7,5.0,1.0,21.3,30.8,0.0,0.0
2718,21.3,35.9,0.0,9.0,10.8,N,35.0,N,WNW,9.0,15.0,,17.0,1014.5,1012.5,2.0,,,34.7,0.0,0.0
2719,19.2,37.0,0.0,10.2,11.1,NNW,43.0,N,NW,15.0,20.0,30.0,12.0,1014.9,1013.7,,1.0,25.1,35.6,0.0,0.0
2720,16.6,31.6,0.0,7.8,11.1,WSW,26.0,ENE,ESE,13.0,7.0,40.0,18.0,1020.3,1017.3,5.0,6.0,20.6,30.2,0.0,0.0
2721,15.6,24.3,0.2,8.2,,S,43.0,S,S,17.0,11.0,51.0,30.0,1020.2,1018.0,0.0,0.0,16.3,23.6,,0.0
2722,9.4,25.6,0.0,7.6,,SSW,31.0,S,SSE,13.0,,44.0,26.0,1023.6,1020.0,0.0,0.0,13.8,24.6,,0.0
2723,17.1,28.7,0.0,6.6,5.5,WNW,43.0,ENE,ENE,15.0,15.0,45.0,,1021.2,1016.9,7.0,7.0,20.1,26.7,0.0,1.0
2724,16.5,20.6,,6.0,0.0,E,,NE,NNE,7.0,9.0,97.0,76.0,1021.3,1019.3,7.0,7.0,16.9,19.9,1.0,1.0
2725,16.0,24.4,2.4,0.2,4.7,,31.0,NNW,E,4.0,15.0,,63.0,1023.1,1020.2,7.0,5.0,17.6,,1.0,1.0
2726,15.1,,0.4,2.2,6.2,SSW,19.0,,SSW,,4.0,94.0,61.0,1016.4,1013.6,7.0,6.0,16.5,23.8,0.0,0.0
2727,11.7,23.8,,5.0,11.0,SSW,28.0,SSE,SSW,,13.0,38.0,27.0,1017.7,1015.7,,0.0,17.2,23.5,0.0,0.0
2728,13.3,24.1,0.0,5.2,11.2,SE,31.0,E,S,,15.0,,23.0,1019.6,1016.1,0.0,1.0,18.0,23.5,0.0,
2729,11.9,24.0,0.0,6.2,10.9,ESE,35.0,E,ESE,19.0,13.0,52.0,33.0,1021.0,1016.8,1.0,1.0,17.2,23.4,0.0,0.0
2730,12.3,24.6,0.0,5.0,9.9,E,31.0,ESE,SE,15.0,15.0,58.0,30.0,1021.8,1018.0,4.0,1.0,17.9,23.7,0.0,0.0
2731,16.7,24.6,0.0,7.0,4.3,WNW,,NW,NNW,6.0,24.0,51.0,36.0,1009.2,1003.6,8.0,6.0,18.5,23.9,0.0,
2732,12.7,23.4,0.6,5.0,10.6,NW,46.0,WSW,WNW,13.0,,64.0,36.0,1010.3,1006.0,1.0,5.0,17.1,21.9,0.0,0.0
2733,5.7,19.7,0.0,4.8,10.3,WSW,52.0,,WNW,9.0,17.0,58.0,34.0,1017.7,1015.2,0.0,1.0,12.6,18.8,0.0,0.0
2734,12.4,19.9,1.0,4.2,8.0,,35.0,,SW,17.0,,78.0,41.0,1020.7,1018.6,7.0,,,18.6,0.0,0.0
2736,5.9,23.9,0.0,4.6,,SW,20.0,NE,,9.0,9.0,45.0,25.0,1027.4,1023.0,,3.0,16.2,22.5,0.0,0.0
2737,7.7,23.2,0.0,3.4,10.4,SW,22.0,SE,ESE,,9.0,45.0,25.0,1022.2,1019.1,0.0,0.0,15.2,22.7,0.0,0.0
2738,7.5,21.2,0.0,3.4,10.4,WSW,,W,W,,19.0,50.0,32.0,1019.6,,1.0,1.0,15.3,20.2,0.0,0.0
2739,7.8,19.4,0.0,3.6,6.9,S,31.0,S,S,7.0,17.0,,35.0,1022.3,1018.5,7.0,,12.3,18.5,0.0,0.0
2741,12.8,14.7,7.6,,0.0,,41.0,ENE,E,20.0,17.0,96.0,,1018.7,1015.6,8.0,8.0,13.9,13.7,1.0,1.0
2742,12.5,15.6,,0.0,0.0,ESE,,,ESE,20.0,26.0,96.0,91.0,1016.1,1014.9,,8.0,,13.2,1.0,1.0
2743,12.7,20.0,7.8,1.4,7.5,ESE,52.0,,ESE,22.0,28.0,64.0,49.0,1018.2,1016.2,7.0,5.0,15.4,,1.0,0.0
2744,10.9,20.8,0.2,2.8,,ESE,46.0,SE,,11.0,20.0,64.0,49.0,1018.5,1015.4,1.0,3.0,14.8,20.4,0.0,0.0
2745,13.0,21.3,1.0,3.8,,,26.0,NNE,N,13.0,2.0,87.0,63.0,,1018.5,7.0,7.0,13.9,19.9,0.0,1.0
2746,12.6,16.3,3.6,2.2,0.7,S,20.0,SSW,S,,7.0,96.0,76.0,1021.5,,8.0,7.0,12.7,16.1,1.0,0.0
2747,10.7,15.6,0.0,2.6,0.6,E,43.0,E,ENE,19.0,13.0,76.0,63.0,1027.7,1025.2,8.0,8.0,11.6,14.8,0.0,1.0
2748,11.3,13.0,10.0,1.8,0.0,ENE,43.0,ENE,ENE,24.0,20.0,95.0,95.0,1026.5,1023.8,8.0,8.0,11.4,,1.0,1.0
2749,11.1,13.9,12.0,0.0,0.0,ENE,30.0,ENE,ENE,15.0,13.0,97.0,97.0,1023.8,1021.6,8.0,8.0,12.6,13.6,1.0,
2750,12.3,17.8,13.6,0.0,5.1,N,19.0,NNE,,7.0,0.0,,68.0,1022.3,1019.4,7.0,5.0,13.0,16.3,1.0,0.0
2751,6.9,16.7,0.0,1.6,4.1,,28.0,NNE,WSW,17.0,9.0,72.0,92.0,1014.4,,,7.0,11.5,11.9,0.0,
2752,8.5,,0.0,2.4,,NE,33.0,ENE,,19.0,15.0,76.0,42.0,1023.2,1018.5,6.0,7.0,12.2,,0.0,0.0
2753,11.7,20.1,0.0,2.0,3.1,NE,31.0,NE,NE,17.0,15.0,78.0,55.0,1019.6,1016.6,7.0,6.0,13.6,,0.0,1.0
2754,7.4,22.3,0.2,2.2,9.4,,33.0,NE,N,19.0,17.0,84.0,,1018.7,1015.2,5.0,5.0,12.1,21.8,0.0,
2755,6.5,16.7,0.0,3.2,9.8,W,33.0,NW,W,7.0,15.0,48.0,38.0,,1014.2,1.0,1.0,11.3,16.4,0.0,0.0
2756,7.8,12.2,0.2,2.2,0.1,NNE,28.0,NE,NNE,6.0,17.0,81.0,95.0,,1006.6,7.0,7.0,9.3,11.6,0.0,1.0
2757,9.2,14.6,38.8,,0.8,WNW,20.0,NNW,SSW,11.0,6.0,96.0,,1006.7,1005.6,7.0,7.0,11.0,12.3,1.0,1.0
2758,4.3,,0.0,3.4,8.7,W,41.0,WNW,W,7.0,20.0,59.0,50.0,1015.9,1013.5,1.0,5.0,10.4,14.9,0.0,0.0
2759,7.1,13.5,0.0,2.6,5.7,SW,33.0,SW,WSW,,15.0,85.0,,1021.3,1020.2,6.0,7.0,9.9,12.4,0.0,0.0
2760,4.4,12.8,,2.2,6.1,S,22.0,S,S,6.0,7.0,77.0,50.0,1022.5,1019.5,7.0,,7.1,12.4,0.0,
2761,5.3,16.6,0.0,2.0,9.6,NE,31.0,E,ENE,13.0,11.0,74.0,,1025.1,1023.2,,3.0,9.5,,0.0,0.0
2762,6.3,17.0,0.0,2.2,10.0,ENE,30.0,E,E,19.0,,64.0,42.0,1027.8,1024.9,1.0,1.0,9.8,16.9,,0.0
2764,6.3,12.0,5.8,2.0,2.5,SW,22.0,NNW,SW,6.0,11.0,98.0,92.0,,1009.3,8.0,7.0,8.1,9.6,1.0,1.0
2765,3.2,15.3,0.0,0.8,8.9,WSW,24.0,NNE,NW,6.0,7.0,,44.0,1023.5,1020.0,3.0,5.0,8.7,14.8,0.0,0.0
2766,12.2,17.4,0.0,4.2,1.7,NW,43.0,N,NW,13.0,,,90.0,1012.0,1010.2,6.0,8.0,16.5,14.8,0.0,1.0
2767,8.9,12.2,0.8,2.4,1.2,N,24.0,NNE,S,7.0,11.0,91.0,77.0,1018.1,1013.5,8.0,7.0,9.1,11.4,0.0,1.0
2768,9.3,17.2,0.0,1.4,6.2,WSW,26.0,W,SW,7.0,15.0,,50.0,1025.4,1023.8,8.0,5.0,11.4,16.3,0.0,0.0
2769,5.2,17.6,0.0,,10.1,SW,17.0,E,WSW,7.0,,64.0,41.0,1029.4,1025.4,0.0,0.0,12.1,,0.0,0.0
2772,8.0,20.5,0.0,2.4,9.9,NNW,26.0,NNE,NE,13.0,9.0,50.0,31.0,1023.0,1018.2,5.0,2.0,13.1,20.1,0.0,0.0
2773,6.2,21.4,0.0,2.4,9.8,NNE,43.0,,N,7.0,13.0,48.0,16.0,1016.1,1012.2,7.0,7.0,10.7,20.1,0.0,
2774,6.5,20.3,0.0,2.4,10.7,SSE,17.0,ENE,W,6.0,6.0,46.0,32.0,1021.9,1018.8,0.0,1.0,15.5,20.1,0.0,0.0
2775,,19.9,,6.2,2.2,N,30.0,NNE,NNW,13.0,15.0,68.0,,1012.1,1010.6,7.0,8.0,14.7,18.0,0.0,
2776,15.4,23.2,0.0,4.2,3.9,WNW,57.0,NNE,,6.0,19.0,74.0,,1010.5,,7.0,6.0,17.8,21.9,0.0,0.0
2777,5.2,23.3,0.0,3.4,11.1,NW,31.0,NNE,NW,13.0,17.0,34.0,15.0,1019.9,1015.4,0.0,4.0,15.5,,0.0,0.0
2778,3.5,18.2,0.0,4.0,10.8,WNW,35.0,,WSW,6.0,9.0,44.0,31.0,1023.5,1020.0,1.0,1.0,11.9,17.8,0.0,0.0
2779,7.4,22.9,0.0,3.8,11.2,E,39.0,ENE,ESE,,9.0,40.0,21.0,,1017.5,,0.0,15.8,,0.0,0.0
2782,13.3,21.0,0.0,7.2,8.3,WSW,54.0,WSW,WSW,22.0,,40.0,,1006.6,,3.0,4.0,16.3,19.1,0.0,0.0
2783,4.4,19.7,0.0,4.4,11.3,W,31.0,SE,WSW,,11.0,47.0,25.0,1020.1,1017.8,0.0,,12.7,19.3,0.0,0.0
2784,6.5,26.0,0.0,4.6,,NNW,37.0,NNE,NW,15.0,,30.0,15.0,1022.6,1018.8,0.0,0.0,17.1,,0.0,0.0
2785,7.1,28.2,0.0,5.2,11.5,E,26.0,E,NW,15.0,9.0,20.0,6.0,1019.6,1015.5,0.0,0.0,18.5,27.8,0.0,0.0
2786,15.7,31.3,0.0,,3.5,NW,50.0,NNE,W,24.0,11.0,21.0,25.0,1013.4,1013.9,5.0,8.0,24.7,25.9,0.0,1.0
2787,10.9,22.9,7.0,5.2,9.9,SW,24.0,,W,11.0,7.0,77.0,35.0,1022.6,1018.9,3.0,1.0,14.7,22.4,1.0,0.0
2788,9.6,26.6,0.0,4.0,10.9,W,31.0,N,WSW,6.0,11.0,46.0,27.0,1019.4,1014.8,,3.0,19.8,26.0,0.0,0.0
2789,11.2,,,3.8,11.7,SW,33.0,SSW,SW,13.0,15.0,54.0,28.0,1020.3,1018.6,1.0,3.0,16.2,21.9,0.0,0.0
2790,4.0,19.6,0.0,7.4,12.1,S,31.0,S,,11.0,9.0,42.0,17.0,1023.3,1020.9,0.0,0.0,10.3,18.7,0.0,0.0
2791,6.1,22.0,0.0,,11.9,SE,30.0,,ESE,17.0,9.0,34.0,16.0,1024.2,1021.6,0.0,,13.6,,0.0,0.0
2792,9.1,23.8,,4.6,10.1,WSW,69.0,WNW,NW,15.0,35.0,33.0,19.0,1007.6,1003.3,,4.0,16.6,22.4,0.0,0.0
2793,12.4,21.5,0.0,,11.2,WSW,54.0,W,W,24.0,22.0,47.0,28.0,1008.7,,2.0,4.0,14.7,20.8,0.0,0.0
2794,6.7,19.5,0.0,,12.6,,44.0,SSW,SW,19.0,22.0,46.0,,1019.9,1018.6,1.0,2.0,11.6,18.9,0.0,0.0
2795,17.1,36.7,0.0,11.4,9.8,WSW,48.0,SSE,SW,6.0,,13.0,5.0,1018.5,1016.7,3.0,5.0,27.6,36.0,,
2797,9.8,16.1,6.0,6.8,0.1,SE,57.0,,ESE,11.0,28.0,,94.0,,1014.0,8.0,8.0,12.0,15.0,1.0,
2798,15.3,26.1,0.2,3.6,8.0,ENE,,ENE,NNE,20.0,7.0,73.0,57.0,1021.9,1019.4,7.0,6.0,18.6,24.1,0.0,0.0
2799,21.2,35.0,0.0,10.0,,NE,26.0,NNE,S,13.0,6.0,,24.0,,,1.0,3.0,26.6,33.3,0.0,0.0
2800,18.0,31.8,0.0,10.2,12.6,ENE,43.0,ENE,NE,24.0,15.0,,,1024.9,1021.7,1.0,4.0,22.6,30.9,0.0,0.0
2801,,34.1,,9.6,13.7,SSE,43.0,N,SSW,15.0,11.0,46.0,20.0,1020.5,1017.1,0.0,,24.1,32.9,0.0,0.0
2802,20.2,36.4,,14.2,13.2,E,37.0,NE,E,15.0,9.0,,16.0,1013.6,1009.7,1.0,1.0,25.2,35.2,0.0,0.0
2803,22.5,39.8,0.0,10.6,11.4,SSW,33.0,NNW,SSE,13.0,9.0,16.0,8.0,1010.7,1007.9,1.0,1.0,,38.0,0.0,0.0
2804,28.8,45.4,0.0,17.0,8.8,N,56.0,N,N,15.0,15.0,13.0,6.0,1008.2,1004.4,1.0,6.0,37.3,43.3,0.0,0.0
2805,27.3,39.7,0.0,20.2,9.7,S,39.0,SSE,NNE,13.0,9.0,32.0,19.0,1009.6,1004.6,2.0,1.0,30.2,37.5,0.0,
2806,17.6,19.6,,10.0,0.2,SSE,43.0,SE,SSE,9.0,13.0,64.0,79.0,,1018.5,8.0,8.0,18.3,14.8,0.0,1.0
2807,21.4,28.1,0.6,12.6,4.6,SW,44.0,SSW,W,7.0,17.0,73.0,65.0,1011.5,1011.3,7.0,7.0,24.0,23.7,0.0,1.0
2808,19.8,32.2,,11.6,11.1,,52.0,SSW,WNW,17.0,19.0,35.0,,1009.3,1005.2,0.0,1.0,21.6,30.1,0.0,0.0
2809,15.3,,0.0,10.0,12.5,E,37.0,ENE,SE,20.0,9.0,37.0,11.0,1019.1,1016.6,0.0,1.0,20.2,28.4,0.0,0.0
2810,17.5,35.8,,11.0,12.4,W,41.0,SE,W,7.0,19.0,33.0,7.0,1015.8,1013.1,0.0,1.0,25.0,35.0,0.0,0.0
2811,13.3,31.3,0.0,13.8,,SSW,24.0,ESE,,9.0,,49.0,,1011.6,1008.7,1.0,1.0,,,0.0,0.0
2812,19.8,38.8,0.0,12.4,12.6,SW,,E,W,11.0,6.0,42.0,9.0,1017.1,1013.9,0.0,1.0,27.2,36.9,,0.0
2813,22.8,41.9,0.0,13.4,12.7,NW,44.0,ENE,N,20.0,15.0,24.0,6.0,1014.9,1011.7,1.0,3.0,31.2,40.8,0.0,0.0
2814,26.5,41.8,0.0,,11.1,NNW,67.0,,NW,31.0,22.0,20.0,14.0,1013.0,1009.3,1.0,5.0,34.4,38.5,0.0,1.0
2815,17.6,34.2,0.0,10.6,11.7,WSW,35.0,E,S,13.0,,24.0,13.0,1016.5,,1.0,3.0,25.6,33.2,0.0,0.0
2816,21.9,39.7,0.0,12.8,,NNE,39.0,N,NE,17.0,17.0,44.0,,1011.7,1008.8,1.0,3.0,29.5,37.6,0.0,0.0
2817,27.3,39.6,0.0,17.2,5.1,SSW,57.0,NNE,N,31.0,22.0,36.0,25.0,1008.5,,7.0,,31.3,38.7,0.0,1.0
2818,,24.7,17.2,14.2,0.0,S,33.0,,SE,7.0,7.0,97.0,84.0,1007.7,1006.9,8.0,8.0,20.4,23.1,1.0,1.0
2819,20.3,,7.2,12.4,3.4,E,31.0,,SSE,13.0,15.0,69.0,73.0,1010.7,1009.7,7.0,7.0,21.5,24.4,,1.0
2820,21.9,33.6,0.0,7.8,12.9,ESE,41.0,ESE,SE,13.0,,,,1016.7,,1.0,3.0,25.1,32.3,0.0,0.0
2821,21.5,27.2,0.0,,0.5,NE,46.0,ENE,NE,22.0,26.0,71.0,50.0,1014.7,1012.6,7.0,7.0,23.5,,0.0,
2822,19.3,26.4,1.6,4.0,2.2,NE,30.0,NNE,NNE,13.0,19.0,96.0,,1011.1,1008.9,8.0,8.0,21.3,,1.0,1.0
2823,21.0,33.4,3.0,2.2,9.5,SSW,44.0,WNW,S,7.0,19.0,81.0,,1008.2,1007.1,,6.0,24.0,,1.0,0.0
2824,22.9,34.7,0.0,10.0,7.4,SW,85.0,NNE,SW,24.0,31.0,58.0,,1014.3,1013.8,2.0,7.0,28.2,21.6,0.0,1.0
2825,24.8,38.2,0.2,,,E,57.0,N,WNW,13.0,20.0,,20.0,,1005.8,2.0,3.0,28.9,,0.0,0.0
2826,,24.6,0.0,15.0,12.4,SSW,46.0,SSW,SW,22.0,24.0,32.0,14.0,1010.5,1009.3,0.0,1.0,17.2,22.8,0.0,0.0
2827,13.8,34.8,0.0,12.8,,SW,28.0,S,WSW,6.0,9.0,18.0,6.0,1013.7,1010.6,0.0,0.0,23.2,32.9,0.0,0.0
2828,22.1,41.2,0.0,14.4,12.6,S,33.0,SSE,NW,13.0,17.0,9.0,8.0,,1007.3,,6.0,29.5,,0.0,0.0
2829,,,0.0,11.6,,,,E,ESE,15.0,17.0,64.0,32.0,1010.4,1008.0,7.0,7.0,25.2,31.8,0.0,0.0
2830,22.7,29.9,0.0,13.2,0.8,E,56.0,E,NNW,24.0,24.0,59.0,87.0,1008.0,1005.9,7.0,8.0,24.0,22.2,,1.0
2831,19.2,29.6,,4.6,2.3,N,57.0,NE,ENE,6.0,19.0,99.0,,1006.9,,8.0,7.0,,29.3,1.0,1.0
2832,19.8,25.3,0.0,4.1,6.4,SSW,37.0,SSW,SSW,11.0,17.0,83.0,91.0,1012.1,1011.4,7.0,7.0,20.5,22.5,0.0,
2834,22.7,30.4,0.0,5.0,4.2,E,,ENE,SSW,13.0,6.0,80.0,76.0,1018.1,,7.0,7.0,24.5,25.9,0.0,1.0
2835,,35.7,0.0,8.6,12.6,,24.0,N,NNW,,9.0,52.0,34.0,1015.4,1012.1,1.0,5.0,28.5,33.1,0.0,0.0
2837,20.1,23.6,22.4,5.6,0.0,,24.0,WNW,SSW,9.0,9.0,97.0,92.0,1010.0,1007.7,8.0,8.0,21.4,22.5,1.0,1.0
2838,17.5,30.7,0.0,10.4,12.4,E,,ENE,,19.0,,54.0,39.0,1019.4,1017.1,1.0,3.0,20.7,28.7,0.0,0.0
2839,20.9,34.0,0.0,,12.4,N,31.0,NNW,WNW,9.0,6.0,51.0,25.0,1016.9,,1.0,2.0,25.8,33.1,,0.0
2840,,33.8,0.0,9.4,12.0,ENE,37.0,E,ENE,20.0,13.0,64.0,34.0,1018.8,1017.4,1.0,4.0,22.5,32.5,,0.0
2841,20.6,32.3,0.0,10.8,10.4,ENE,48.0,ENE,E,20.0,13.0,55.0,35.0,1021.5,1018.6,,3.0,22.6,31.8,,0.0
2842,15.8,30.4,0.0,8.0,6.3,E,39.0,ESE,E,22.0,20.0,59.0,30.0,1013.7,1010.5,1.0,5.0,19.0,29.4,0.0,1.0
2843,18.4,22.5,2.6,7.0,1.8,NE,43.0,ENE,ENE,20.0,24.0,86.0,88.0,1009.8,1007.2,8.0,,18.9,20.8,1.0,1.0
2844,18.0,27.9,12.8,0.6,3.7,N,33.0,NE,N,19.0,17.0,86.0,66.0,1005.6,1004.4,7.0,7.0,22.0,26.3,1.0,1.0
2845,,28.0,0.0,7.6,10.0,ENE,43.0,ENE,,20.0,9.0,60.0,37.0,1030.3,1027.2,1.0,6.0,19.0,25.8,0.0,0.0
2846,17.7,30.9,0.0,7.2,11.4,E,,ENE,ESE,17.0,13.0,50.0,21.0,1023.4,1021.5,1.0,1.0,21.6,30.0,0.0,0.0
2847,18.5,30.3,,8.6,11.4,S,28.0,SE,S,13.0,13.0,43.0,18.0,1019.8,1017.5,1.0,1.0,21.8,28.8,0.0,0.0
2848,,30.3,0.0,8.4,11.3,S,,S,SSW,9.0,13.0,44.0,13.0,1020.7,1018.9,0.0,0.0,,,0.0,0.0
2849,16.3,34.8,0.0,7.2,11.2,NW,33.0,,W,7.0,7.0,39.0,14.0,1019.3,1016.3,1.0,2.0,22.5,33.8,0.0,0.0
2850,,,0.0,8.0,,NW,22.0,NE,WNW,7.0,7.0,38.0,20.0,,1015.7,6.0,7.0,24.2,33.0,0.0,0.0
2851,23.3,32.4,,8.4,,SW,50.0,NW,N,9.0,,51.0,33.0,1015.9,1014.2,7.0,8.0,,29.9,0.0,1.0
2852,18.8,25.8,8.4,5.4,,S,28.0,ENE,SW,6.0,,94.0,74.0,1018.3,1016.7,7.0,7.0,19.4,23.5,1.0,1.0
2853,14.1,29.6,0.0,5.8,6.4,W,33.0,,ESE,15.0,7.0,53.0,26.0,1018.6,1015.5,1.0,7.0,19.2,28.9,0.0,0.0
2854,15.0,28.5,0.0,8.4,9.4,,35.0,ENE,ENE,19.0,,,24.0,1017.7,1013.5,1.0,3.0,19.9,28.2,0.0,
2855,17.1,20.9,12.4,8.0,,,44.0,NE,NNE,15.0,17.0,98.0,95.0,1015.1,1013.8,7.0,8.0,,18.3,1.0,1.0
2856,17.7,28.1,10.2,0.2,4.5,,44.0,N,,17.0,,89.0,66.0,1013.8,1012.1,7.0,7.0,20.7,28.0,1.0,1.0
2858,7.9,22.9,0.0,3.8,9.2,WSW,20.0,SSW,SSE,6.0,9.0,60.0,26.0,1022.9,1019.9,6.0,4.0,14.4,22.6,0.0,
2859,,27.6,0.0,4.4,10.0,NE,30.0,ENE,,13.0,,40.0,29.0,1023.5,1020.4,,3.0,20.1,26.6,0.0,0.0
2860,15.6,27.8,0.0,5.2,9.5,NE,31.0,NE,,,,,27.0,1023.9,1020.5,6.0,3.0,19.6,,0.0,0.0
2861,15.3,28.6,,4.2,8.5,NE,26.0,NE,NE,17.0,9.0,61.0,32.0,1021.3,,4.0,6.0,21.1,27.9,0.0,0.0
2862,,30.3,,5.8,1.5,SW,46.0,,WNW,20.0,20.0,49.0,30.0,,1011.8,7.0,7.0,23.7,29.3,0.0,1.0
2863,9.0,21.1,0.0,3.6,9.9,SSE,24.0,SE,SSE,7.0,7.0,60.0,42.0,1026.5,1023.1,0.0,1.0,16.1,20.7,0.0,0.0
